Name,Company,Company Website,LinkedIn
Srikrishna Dwaram,True North,https://www.truenorth.co.in/,https://www.linkedin.com/in/srikrishna-dwaram-37682a1
Jacqueline Novogratz,Acumen,https://acumen.org/,https://www.linkedin.com/in/jacqueline-novogratz
Monica Brand Engel,Quona Capital,https://quona.com/,https://www.linkedin.com/in/monicabrandengel
Jonathan Whittle,Quona Capital,https://quona.com/,https://www.linkedin.com/in/jonathan-whittle-5a06a
Tilman Ehrbeck,Flourish Ventures,https://flourishventures.com/,https://www.linkedin.com/in/tilman-ehrbeck
Alice Bentinck,Entrepreneur First,https://www.joinef.com/,https://www.linkedin.com/in/alicebentinck
Matt Clifford,Entrepreneur First,https://www.joinef.com/,https://www.linkedin.com/in/mattcliffordef
Magnus Grimeland,Antler,https://www.antler.co/,https://www.linkedin.com/in/magnusgrimeland
Fady Abdel-Nour,Antler,https://www.antler.co/,https://www.linkedin.com/in/fady-abdel-nour-cfa-6345993
Sean O'Sullivan,SOSV,https://sosv.com/,https://www.linkedin.com/in/sean-sosv
Cyril Ebersweiler,SOSV,https://sosv.com/,https://www.linkedin.com/in/cyrilebersweiler
Shane Chesson,Openspace Ventures,https://www.openspace.vc/,https://www.linkedin.com/in/shanechesson
Hian Goh,Openspace Ventures,https://www.openspace.vc/,https://www.linkedin.com/in/hiangoh-ai-investor
Vinnie Lauria,Golden Gate Ventures,https://www.goldengate.vc/,https://www.linkedin.com/in/vincentlauria
Jeffrey Paine,Golden Gate Ventures,https://www.goldengate.vc/,https://www.linkedin.com/in/jeffreypaine
Bryan Yeo,GIC Private Limited,https://www.gic.com.sg/,https://www.linkedin.com/in/bryanyeokm
Lim Chow Kiat,GIC Private Limited,https://www.gic.com.sg/,https://www.linkedin.com/in/limchowkiat
Eric Mogelof,KKR,https://www.kkr.com/,https://www.linkedin.com/in/ericmogelof
James Brocklebank,Advent International,https://www.adventinternational.com/,https://www.linkedin.com/in/jamesbrocklebank
Frank Ehmer,Apax Partners,https://www.apax.com/,https://www.linkedin.com/in/frank-ehmer-a31169
Nedu Ottih,Apax Partners,https://www.apax.com/,https://www.linkedin.com/in/nedu-ottih-1007208
Quinn Li,Qualcomm Ventures,https://www.qualcommventures.com/,https://www.linkedin.com/in/liquinn
Rama Bethmangalkar,Qualcomm Ventures,https://www.qualcommventures.com/,https://www.linkedin.com/in/rama-bethmangalkar-1664a4
Anthony Lin,Intel Capital,https://www.intelcapital.com/,https://www.linkedin.com/in/anthony-lin-林立中-0818371
Andy Fligel,Intel Capital,https://www.intelcapital.com/,https://www.linkedin.com/in/andy-fligel-018797
Michelle Gonzalez,M12,https://m12.vc/,https://www.linkedin.com/in/michellehgonzalez
Darian Shirazi,Gradient Ventures,https://www.gradient.com/,https://www.linkedin.com/in/darian314
Zach Bratun-Glennon,Gradient Ventures,https://www.gradient.com/,https://www.linkedin.com/in/zachary-bratun-glennon-b4a16026
Lak Ananth,next47,https://next47.com/,https://www.linkedin.com/in/lananth
Matthew Cowan,next47,https://next47.com/,https://www.linkedin.com/in/matthewtcowan
